iter	Passed	Remaining
215	1090	3958
216	1096	3957
217	1101	3949
218	1105	3943
219	1110	3937
220	1114	3929
221	1119	3923
222	1123	3915
223	1128	3911
224	1133	3902
225	1137	3894
226	1143	3892
227	1147	3884
228	1151	3876
229	1155	3869
230	1160	3863
231	1165	3857
232	1169	3850
233	1175	3846
234	1179	3840
235	1184	3833
236	1189	3827
237	1193	3821
238	1197	3814
239	1202	3807
240	1207	3802
241	1212	3796
242	1216	3788
243	1220	3782
244	1225	3776
245	1230	3770
246	1234	3763
247	1239	3758
248	1244	3752
249	1248	3746
250	1253	3739
251	1257	3732
252	1261	3725
253	1266	3719
254	1271	3713
255	1275	3706
256	1279	3698
257	1283	3692
258	1288	3685
259	1291	3677
260	1296	3670
261	1300	3664
262	1305	3657
263	1309	3650
264	1313	3643
265	1318	3636
266	1322	3629
267	1326	3623
268	1331	3617
269	1335	3609
270	1339	3602
271	1343	3596
272	1348	3591
273	1353	3586
274	1357	3579
275	1361	3571
276	1366	3565
277	1369	3558
278	1374	3551
279	1378	3545
280	1383	3539
281	1387	3532
282	1391	3525
283	1395	3519
284	1400	3512
285	1404	3506
286	1409	3501
287	1413	3495
288	1418	3490
289	1422	3483
290	1427	3478
291	1432	3473
292	1437	3467
293	1442	3463
294	1447	3459
295	1452	3454
296	1457	3450
297	1462	3444
298	1477	3462
299	1481	3456
300	1486	3451
301	1490	3444
302	1494	3438
303	1498	3431
304	1503	3425
305	1507	3419
306	1511	3412
307	1515	3405
308	1519	3398
309	1524	3392
310	1528	3386
311	1533	3380
312	1537	3374
313	1542	3368
314	1546	3362
315	1550	3357
316	1555	3352
317	1560	3346
318	1564	3340
319	1569	3334
320	1573	3327
321	1577	3320
322	1581	3314
323	1585	3308
324	1589	3301
325	1593	3295
326	1598	3289
327	1602	3283
328	1606	3276
329	1610	3270
330	1614	3262
331	1618	3257
332	1622	3250
333	1626	3243
334	1630	3236
335	1634	3230
336	1638	3224
337	1642	3217
338	1646	3209
339	1650	3204
340	1655	3198
341	1659	3192
342	1662	3185
343	1667	3179
344	1671	3172
345	1674	3165
346	1678	3158
347	1700	3186
348	1704	3179
349	1707	3171
350	1710	3163
351	1714	3156
352	1717	3148
353	1721	3140
354	1724	3132
355	1727	3125
356	1731	3118
357	1735	3111
358	1738	3104
359	1742	3097
360	1764	3123
361	1769	3118
362	1772	3111
363	1776	3103
364	1780	3096
365	1783	3089
366	1786	3082
367	1790	3074
368	1794	3068
369	1798	3061
370	1801	3054
371	1805	3048
372	1809	3042
373	1813	3035
374	1817	3028
375	1820	3021
376	1824	3015
377	1844	3035
378	1848	3028
379	1860	3035
380	1865	3030
381	1869	3024
382	1879	3027
383	1893	3036
384	1896	3029
385	1900	3022
386	1903	3015
387	1907	3009
388	1911	3001
389	1914	2994
390	1918	2987
391	1921	2980
392	1925	2973
393	1928	2966
394	1932	2959
395	1936	2953
396	1956	2972
397	1960	2965
398	1963	2957
399	1967	2950
400	1970	2943
401	1974	2937
402	1978	2930
403	1989	2935
404	1993	2928
405	1996	2921
406	2000	2914
407	2004	2908
408	2008	2901
409	2011	2894
410	2015	2888
411	2019	2882
412	2023	2875
413	2026	2868
414	2030	2862
415	2034	2856
416	2037	2849
417	2041	2842
418	2045	2835
419	2049	2829
420	2053	2824
421	2057	2817
422	2060	2811
423	2064	2805
424	2069	2800
425	2074	2794
426	2078	2788
427	2082	2783
428	2086	2777
429	2090	2770
430	2093	2764
431	2098	2758
432	2101	2752
433	2105	2746
434	2109	2739
435	2113	2733
436	2117	2727
437	2120	2720
438	2124	2714
439	2128	2708
440	2132	2702
441	2136	2696
442	2139	2690
443	2143	2683
444	2146	2677
445	2150	2671
446	2154	2665
447	2157	2658
448	2161	2652
449	2165	2647
450	2169	2640
451	2173	2634
452	2177	2628
453	2180	2622
454	2184	2616
455	2187	2610
456	2192	2604
457	2195	2598
458	2199	2592
459	2203	2586
460	2207	2580
461	2210	2574
462	2214	2568
463	2218	2562
464	2221	2556
465	2226	2550
466	2229	2544
467	2233	2539
468	2237	2533
469	2241	2527
470	2245	2521
471	2249	2515
472	2252	2509
473	2256	2504
474	2260	2498
475	2264	2492
476	2268	2486
477	2272	2481
478	2277	2477
479	2281	2471
480	2286	2466
481	2290	2461
482	2306	2468
483	2309	2462
484	2313	2456
485	2316	2450
486	2320	2444
487	2324	2438
488	2327	2432
489	2331	2426
490	2335	2420
491	2339	2415
492	2342	2409
493	2346	2403
494	2350	2398
495	2354	2392
496	2358	2386
497	2362	2381
498	2366	2375
499	2370	2370
500	2374	2365
501	2378	2359
502	2383	2354
503	2386	2348
504	2390	2343
505	2394	2337
506	2398	2332
507	2403	2327
508	2407	2321
509	2410	2316
510	2415	2311
511	2419	2305
512	2423	2300
513	2427	2294
514	2431	2289
515	2435	2284
516	2438	2278
517	2442	2272
518	2447	2267
519	2451	2262
520	2455	2257
521	2459	2251
522	2466	2249
523	2470	2243
524	2474	2238
525	2477	2233
526	2482	2228
527	2486	2222
528	2490	2217
529	2494	2212
530	2498	2206
531	2501	2200
532	2506	2195
533	2510	2190
534	2514	2185
535	2518	2179
536	2522	2174
537	2526	2169
538	2530	2164
539	2534	2159
540	2538	2153
541	2543	2149
542	2547	2143
543	2551	2138
544	2555	2133
545	2560	2128
546	2563	2123
547	2567	2117
548	2571	2112
549	2575	2107
550	2579	2102
551	2583	2096
552	2587	2091
553	2591	2086
554	2595	2081
555	2599	2075
556	2603	2070
557	2608	2065
558	2612	2060
559	2616	2055
560	2620	2050
561	2623	2044
562	2627	2039
563	2631	2034
564	2635	2028
565	2639	2023
566	2643	2018
567	2646	2012
568	2650	2007
569	2655	2003
570	2659	1998
571	2664	1993
572	2675	1993
573	2679	1988
574	2683	1983
575	2687	1977
576	2690	1972
577	2694	1967
578	2698	1961
579	2702	1956
580	2706	1951
581	2709	1946
582	2713	1941
583	2718	1936
584	2721	1930
585	2725	1925
586	2729	1920
587	2733	1915
588	2736	1909
589	2740	1904
590	2744	1899
591	2748	1894
592	2752	1889
593	2756	1884
594	2760	1879
595	2765	1874
596	2769	1869
597	2773	1864
598	2776	1858
599	2780	1853
600	2784	1848
601	2788	1843
602	2791	1837
603	2795	1832
604	2799	1827
605	2802	1822
606	2806	1816
607	2810	1811
608	2814	1806
609	2817	1801
610	2821	1796
611	2825	1791
612	2829	1786
613	2833	1781
614	2836	1775
615	2840	1770
616	2845	1766
617	2848	1760
618	2852	1755
619	2856	1750
620	2861	1746
621	2865	1741
622	2869	1736
623	2873	1731
624	2877	1726
625	2881	1721
626	2884	1716
627	2888	1710
628	2892	1706
629	2896	1700
630	2899	1695
631	2903	1690
632	2907	1685
633	2911	1680
634	2915	1675
635	2918	1670
636	2923	1665
637	2927	1660
638	2930	1655
639	2934	1650
640	2938	1645
641	2942	1640
642	2946	1635
643	2950	1630
644	2954	1626
645	2958	1621
646	2962	1616
647	2965	1611
648	2970	1606
649	2974	1601
650	2978	1596
651	2981	1591
652	2985	1586
653	2989	1581
654	2993	1576
655	2996	1571
656	3000	1566
657	3004	1561
658	3008	1556
659	3011	1551
660	3016	1546
661	3036	1550
662	3040	1545
663	3044	1540
664	3047	1535
665	3051	1530
666	3055	1525
667	3059	1520
668	3063	1515
669	3067	1511
670	3071	1506
671	3075	1501
672	3078	1495
673	3083	1491
674	3086	1486
675	3090	1481
676	3093	1476
677	3098	1471
678	3102	1466
679	3106	1462
680	3110	1457
681	3114	1452
682	3118	1447
683	3122	1442
684	3130	1439
685	3134	1434
686	3138	1429
687	3142	1424
688	3146	1420
689	3149	1415
690	3153	1410
691	3157	1405
692	3161	1400
693	3165	1395
694	3168	1390
695	3172	1385
696	3176	1380
697	3180	1376
698	3184	1371
699	3188	1366
700	3191	1361
701	3195	1356
702	3199	1351
703	3203	1346
704	3206	1341
705	3210	1337
706	3214	1332
707	3217	1327
708	3221	1322
709	3226	1317
710	3230	1312
711	3233	1308
712	3237	1303
713	3242	1298
714	3246	1293
715	3249	1289
716	3254	1284
717	3259	1280
718	3263	1275
719	3267	1270
720	3272	1266
721	3277	1261
722	3281	1257
723	3285	1252
724	3289	1247
725	3293	1242
726	3297	1238
727	3300	1233
728	3304	1228
729	3308	1223
730	3312	1218
731	3315	1214
732	3337	1215
733	3341	1210
734	3344	1205
735	3347	1200
736	3351	1195
737	3354	1191
738	3358	1186
739	3361	1181
740	3364	1176
741	3368	1171
742	3372	1166
743	3375	1161
744	3379	1156
745	3383	1152
746	3387	1147
747	3391	1142
748	3395	1137
749	3399	1133
750	3402	1128
751	3406	1123
752	3410	1118
753	3413	1113
754	3417	1109
755	3421	1104
756	3424	1099
757	3432	1095
758	3436	1091
759	3439	1086
760	3443	1081
761	3447	1076
762	3451	1072
763	3456	1067
764	3461	1063
765	3469	1059
766	3473	1055
767	3476	1050
768	3481	1045
769	3485	1041
770	3488	1036
771	3492	1031
772	3496	1026
773	3500	1022
774	3503	1017
775	3507	1012
776	3529	1013
777	3533	1008
778	3536	1003
779	3540	998
780	3544	993
781	3547	988
782	3550	984
783	3554	979
784	3558	974
785	3561	969
786	3565	964
787	3568	960
788	3572	955
789	3576	950
790	3580	946
791	3584	941
792	3588	936
793	3592	932
794	3596	927
795	3600	922
796	3604	917
797	3607	913
798	3611	908
799	3614	903
800	3618	898
801	3622	894
802	3625	889
803	3629	884
804	3632	880
805	3637	875
806	3641	870
807	3645	866
808	3649	861
809	3653	856
810	3657	852
811	3662	847
812	3666	843
813	3670	838
814	3674	834
815	3678	829
816	3682	824
817	3686	820
818	3689	815
819	3693	810
820	3697	806
821	3701	801
822	3704	796
823	3708	792
824	3711	787
825	3715	782
826	3719	778
827	3723	773
828	3726	768
829	3731	764
830	3735	759
831	3739	755
832	3743	750
833	3747	745
834	3751	741
835	3754	736
836	3758	731
837	3761	727
838	3765	722
839	3769	717
840	3772	713
841	3776	708
842	3780	704
843	3784	699
844	3787	694
845	3798	691
846	3801	686
847	3805	682
848	3808	677
849	3812	672
850	3815	668
851	3819	663
852	3822	658
853	3826	654
854	3830	649
855	3834	644
856	3837	640
857	3841	635
858	3846	631
859	3849	626
860	3853	622
861	3857	617
862	3861	613
863	3865	608
864	3869	603
865	3873	599
866	3876	594
867	3880	590
868	3884	585
869	3888	580
870	3892	576
871	3896	571
872	3900	567
873	3903	562
874	3907	558
875	3911	553
876	3915	549
877	3918	544
878	3923	540
879	3927	535
880	3931	531
881	3935	526
882	3940	522
883	3943	517
884	3947	512
885	3951	508
886	3955	503
887	3959	499
888	3963	494
889	3967	490
890	3971	485
891	3975	481
892	3979	476
893	3983	472
894	4004	469
895	4008	465
896	4011	460
897	4014	456
898	4018	451
899	4021	446
900	4025	442
901	4028	437
902	4032	433
903	4036	428
904	4040	424
905	4044	419
906	4048	415
907	4052	410
908	4056	406
909	4061	401
910	4065	397
911	4072	392
912	4077	388
913	4083	384
914	4088	379
915	4093	375
916	4100	371
917	4105	366
918	4111	362
919	4116	357
920	4121	353
921	4127	349
922	4131	344
923	4135	340
924	4139	335
925	4143	331
926	4147	326
927	4151	322
928	4154	317
929	4158	313
930	4162	308
931	4166	303
932	4169	299
933	4173	294
934	4177	290
935	4181	285
936	4185	281
937	4189	276
938	4193	272
939	4197	267
940	4200	263
941	4204	258
942	4209	254
943	4212	249
944	4216	245
945	4220	240
946	4224	236
947	4228	231
948	4231	227
949	4235	222
950	4239	218
951	4243	213
952	4247	209
953	4254	205
954	4260	200
955	4264	196
956	4268	191
957	4272	187
958	4275	182
959	4279	178
960	4283	173
961	4287	169
962	4291	164
963	4295	160
964	4299	155
965	4303	151
966	4307	147
967	4311	142
968	4315	138
969	4319	133
970	4323	129
971	4327	124
972	4330	120
973	4334	115
974	4338	111
975	4341	106
976	4345	102
977	4348	97
978	4352	93
979	4356	88
980	4359	84
981	4363	79
982	4367	75
983	4370	71
984	4374	66
985	4377	62
986	4381	57
987	4385	53
988	4389	48
989	4393	44
990	4396	39
991	4401	35
992	4405	31
993	4408	26
994	4412	22
995	4417	17
996	4421	13
997	4424	8
998	4428	4
999	4432	0
